Id,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,PoolArea,Neighborhood,HouseStyle,GarageType,ExterQual,KitchenQual,CentralAir,LotFrontage,MasVnrArea,SalePrice
17,5651,4,3,1981,2022,1175,1021,653,1678,3,0,5,10,1,3,767,0,0,0,OldTown,1Story,BuiltIn,TA,TA,Y,76.52378830309287,0.0,239306.0
18,10407,10,6,1976,2001,1785,1202,0,1203,2,1,1,3,2,1,185,17,133,0,NWAmes,2Story,Attchd,Gd,TA,Y,83.12565136039913,108.0,306389.0
19,7042,1,3,1979,2004,582,1347,302,1637,3,1,4,6,2,2,591,0,148,0,CollgCr,1Story,,TA,Gd,Y,76.51767242186439,0.0,196662.0
20,7969,7,5,1972,1994,1258,1311,911,2221,3,0,5,8,1,3,955,1,70,0,Gilbert,2Story,Attchd,TA,Gd,Y,,0.0,192240.0
21,7039,2,7,1962,2004,1302,1165,1008,2173,1,0,3,5,2,2,564,199,106,0,NWAmes,2Story,CarPort,Gd,Gd,Y,65.82200844443031,444.0,216062.0
22,18786,5,2,1975,1987,299,1694,0,1683,1,1,3,5,1,2,512,137,168,0,SawyerW,1.5Fin,Attchd,TA,Gd,Y,81.73184660954347,0.0,177869.0
23,8907,1,6,1943,1970,1214,1371,0,1372,1,0,5,10,2,0,0,202,0,217,NridgHt,1Story,Attchd,TA,Gd,Y,21.0,217.0,94495.0
24,5865,3,6,1937,1945,1402,978,0,986,2,0,5,10,2,0,0,281,0,0,Somerst,1.5Fin,Attchd,Ex,TA,Y,,148.0,140439.0
25,12444,2,3,1982,2001,1285,981,848,1817,1,1,1,6,2,0,0,29,148,0,CollgCr,SFoyer,Attchd,Gd,TA,Y,,0.0,227153.0
26,5495,1,6,1959,2014,1016,937,521,1442,3,0,3,5,2,2,470,55,0,0,CollgCr,SLvl,BuiltIn,Gd,Gd,Y,63.13292620165133,75.0,216991.0
27,9735,7,5,1970,1988,1183,1390,659,2068,1,0,4,7,0,0,0,118,0,0,Edwards,1.5Fin,Attchd,TA,Gd,Y,63.15528423244213,0.0,232472.0
28,4089,5,2,2020,2022,1117,913,0,903,2,1,2,6,1,3,700,0,0,0,SawyerW,2Story,Detchd,TA,TA,Y,,51.0,249860.0
29,5264,1,9,1998,2016,374,988,0,968,1,0,2,7,0,3,686,230,134,0,Crawfor,1Story,Attchd,TA,TA,Y,,62.0,183581.0
30,9688,6,8,1947,1958,1127,1552,0,1532,1,0,1,6,2,1,239,0,34,0,CollgCr,1.5Fin,BuiltIn,TA,Gd,Y,59.58400635566177,0.0,251550.0
31,12032,5,3,1917,1995,903,1222,1044,2284,1,0,1,6,2,2,610,20,163,0,Crawfor,1.5Fin,BuiltIn,TA,Ex,Y,63.21138175216534,0.0,258496.0
32,9590,3,8,1915,2009,768,1605,0,1589,2,1,3,6,1,0,0,67,120,0,Mitchel,2Story,Detchd,TA,TA,N,63.935797087627016,0.0,181923.0
33,8550,7,9,1954,2008,2043,1453,687,2141,3,0,4,8,1,3,707,0,142,0,Mitchel,1.5Fin,Attchd,TA,TA,Y,51.64011716851355,0.0,326418.0
34,7939,10,3,1938,2015,1551,702,0,707,3,1,4,8,1,2,620,0,129,368,Sawyer,1Story,Detchd,Fa,Ex,Y,,366.0,308467.0
35,4957,9,3,1967,1977,589,1111,482,1578,3,1,5,10,1,2,570,181,119,412,SawyerW,1Story,Attchd,Fa,TA,Y,44.922151298408906,0.0,222697.0
36,6714,9,2,1958,1983,1188,1526,0,1537,1,0,1,3,2,0,0,99,184,0,NridgHt,2Story,Attchd,Fa,TA,Y,62.666891859570434,254.0,163353.0
37,7448,9,8,1988,2014,1633,685,397,1072,1,1,2,7,1,2,639,0,4,0,NridgHt,1Story,Detchd,TA,Gd,N,58.646035383975985,58.0,209412.0
38,13668,2,1,1995,2005,451,1309,364,1662,2,0,2,7,0,0,0,0,70,0,OldTown,1Story,,Fa,TA,Y,75.0897800040968,7.0,137177.0
39,10274,3,8,1961,1998,1080,1135,0,1153,3,0,3,5,1,0,0,0,0,0,NridgHt,1Story,CarPort,Gd,Gd,Y,103.31953338526965,0.0,136624.0
40,4423,7,7,2003,2004,1099,483,783,1279,1,0,2,4,1,0,0,114,94,0,Sawyer,1Story,Detchd,TA,TA,Y,75.71047731286914,388.0,247605.0
41,10194,5,7,1912,1954,540,1195,1139,2344,1,1,4,9,0,2,688,141,0,0,Somerst,1.5Fin,Detchd,TA,TA,Y,72.26925992087138,75.0,123876.0
42,7676,2,3,2008,2010,1201,831,0,822,1,0,4,7,0,2,529,0,0,0,NAmes,2Story,,TA,Gd,Y,,425.0,123230.0
43,6831,3,1,1980,1985,1496,706,0,701,2,0,1,4,0,0,0,0,0,0,NAmes,1Story,Detchd,TA,TA,Y,51.018064590802474,77.0,142027.0
44,11437,10,4,2012,2015,1653,1153,0,1170,3,0,3,5,0,2,488,0,0,0,Crawfor,2Story,Attchd,Gd,TA,Y,85.44303934271584,0.0,346209.0
45,13526,6,9,2000,2005,950,416,573,971,2,1,2,7,1,0,0,0,0,0,BrkSide,1Story,,Gd,Fa,Y,78.9408361248056,11.0,133910.0
46,12997,7,5,1905,2017,2050,893,0,874,3,1,1,4,0,1,286,0,192,0,Timber,2Story,Attchd,Gd,Gd,Y,69.01027316246785,279.0,207979.0
47,6401,9,1,1982,2009,226,2119,0,2103,3,0,5,10,2,2,550,238,0,0,Edwards,1Story,Attchd,TA,Ex,Y,77.80952048126251,44.0,241417.0
48,7913,1,5,1976,1976,1192,1397,468,1855,1,0,5,10,1,2,481,144,0,0,CollgCr,SLvl,Detchd,Gd,Fa,Y,77.20821285696562,52.0,243856.0
49,10224,7,8,2020,2022,485,815,0,819,1,0,2,7,2,1,280,0,0,0,NridgHt,1Story,Attchd,TA,TA,Y,77.24815845210567,180.0,117971.0
50,13229,8,8,1959,1998,1086,1683,752,2449,1,0,2,5,1,1,279,187,41,0,Mitchel,2Story,Attchd,TA,Fa,N,91.87385498724785,400.0,267859.0
51,7393,3,5,1989,1996,841,773,910,1697,1,1,2,6,1,1,279,130,164,0,OldTown,SLvl,Attchd,TA,Gd,Y,53.32126461451121,448.0,211681.0
52,8314,4,9,1913,1971,1252,939,1141,2081,1,1,4,9,2,0,0,220,0,0,Crawfor,SFoyer,Detchd,Fa,Gd,N,98.84668003267782,373.0,265530.0
53,5752,10,1,1994,2013,999,713,590,1319,3,1,2,5,0,0,0,280,0,0,Edwards,1Story,,TA,Gd,Y,34.741518044957196,0.0,217096.0
54,5549,6,4,1953,1999,719,1247,0,1248,1,1,5,9,0,3,809,276,0,0,NWAmes,2Story,Attchd,TA,TA,Y,84.56157127737491,0.0,176776.0
55,12394,10,3,1903,2022,745,1670,0,1660,1,1,2,4,2,1,239,0,181,0,CollgCr,1Story,Attchd,TA,TA,Y,73.6907270063659,292.0,270228.0
56,15405,7,2,1938,1944,1822,770,0,781,2,1,3,6,0,3,1003,53,21,0,Crawfor,2Story,Attchd,TA,TA,Y,48.8159711684967,74.0,304797.0
57,8701,4,8,1971,1981,1227,367,0,381,2,1,5,9,1,0,0,0,26,0,Sawyer,1Story,Detchd,Gd,Gd,Y,92.64026715352702,0.0,203107.0
58,13378,8,7,1924,1984,369,1564,1381,2955,3,0,3,6,1,2,699,127,104,0,NAmes,1.5Fin,BuiltIn,Gd,Gd,Y,30.10268572626756,197.0,218909.0
59,10349,5,9,1976,1979,1270,1740,0,1727,3,0,5,9,1,1,307,0,174,0,OldTown,1Story,Detchd,TA,TA,Y,105.75490039633559,78.0,243991.0
60,6918,1,2,1931,1955,972,391,0,390,2,0,1,5,0,2,425,0,37,0,Edwards,2Story,Attchd,TA,TA,Y,119.64991685555451,232.0,116791.0
61,10348,4,4,1958,1969,1051,1324,618,1955,2,0,5,8,0,0,0,0,111,0,Timber,2Story,Detchd,TA,TA,Y,66.40959653308667,0.0,148591.0
62,16567,3,6,2001,2006,1377,1236,0,1219,1,0,5,7,2,1,258,295,38,0,Gilbert,SFoyer,Detchd,TA,Gd,Y,47.39019616689782,0.0,181274.0
63,8827,9,3,1962,2007,1523,850,0,847,1,0,3,8,1,3,833,0,142,0,NAmes,2Story,Attchd,Gd,Gd,Y,57.28978304684752,406.0,242047.0
64,16745,8,8,1937,1948,706,620,0,603,3,1,3,7,2,3,828,173,0,0,Timber,1Story,Attchd,TA,Ex,Y,91.45251946465555,485.0,160160.0
65,3140,1,3,2019,2021,1038,1526,0,1525,2,0,5,10,0,0,0,0,0,0,Sawyer,1Story,Attchd,Gd,TA,Y,62.90775332291574,229.0,167932.0
66,12441,6,2,1991,2009,831,1218,710,1916,3,1,5,7,2,2,448,140,0,0,CollgCr,1Story,,TA,Gd,Y,21.0,304.0,274088.0
67,9272,9,3,1952,1988,1288,1246,576,1817,1,0,4,9,0,0,0,26,59,0,Somerst,1.5Fin,BuiltIn,TA,TA,Y,78.43540211012723,383.0,162029.0
68,7945,7,6,1993,2006,957,913,519,1437,3,1,1,6,1,2,680,0,0,0,Gilbert,2Story,BuiltIn,TA,TA,Y,89.66445384119487,0.0,189806.0
69,9290,4,2,1966,2018,1061,845,0,862,3,1,1,4,1,0,0,0,43,0,Sawyer,2Story,CarPort,TA,Gd,Y,,134.0,220731.0
70,4043,1,8,1927,2014,941,300,0,304,3,0,2,5,0,3,616,49,0,0,OldTown,1Story,BuiltIn,Fa,Gd,Y,84.81309006167736,292.0,143439.0
71,8201,2,1,1902,1981,1007,1063,0,1046,1,0,5,7,0,2,552,0,0,0,Crawfor,1.5Fin,,TA,TA,Y,105.29950481687968,399.0,156400.0
72,10330,5,7,2008,2016,1731,1696,454,2167,3,0,5,8,0,0,0,242,154,0,NWAmes,2Story,Attchd,TA,Ex,Y,,37.0,271602.0
73,16173,5,2,2017,2021,2006,811,1097,1906,1,0,5,9,1,1,278,0,0,0,Crawfor,SFoyer,Detchd,TA,Gd,Y,107.80316298322455,0.0,317925.0
74,7278,8,6,1997,2021,1200,571,0,564,2,0,5,7,0,3,871,139,22,0,Somerst,2Story,BuiltIn,TA,Fa,Y,66.60381511548246,354.0,157210.0
75,6480,6,2,1979,1982,1010,1315,0,1315,3,1,1,4,1,3,787,0,121,399,Sawyer,1Story,Detchd,Ex,TA,Y,94.78633438685277,167.0,261512.0
76,7326,8,2,1921,1995,411,1385,81,1460,3,0,3,6,2,1,285,84,0,0,Edwards,1Story,Attchd,Gd,TA,Y,66.86697207649398,284.0,188425.0
77,12915,2,8,1995,2011,745,927,0,909,1,1,4,6,1,0,0,83,195,0,Crawfor,1Story,Attchd,TA,Gd,N,114.84272816671299,102.0,187307.0
78,10213,3,2,1937,1943,999,1017,0,1033,3,1,3,7,2,2,592,0,83,0,NWAmes,1.5Fin,Attchd,Gd,TA,Y,84.25418694333862,0.0,159074.0
79,7245,6,7,1971,2016,763,1250,0,1245,1,1,3,5,1,3,909,0,0,0,Sawyer,1.5Fin,Attchd,TA,Gd,Y,,242.0,239655.0
80,10996,10,3,2018,2019,806,1090,0,1083,3,0,1,4,1,0,0,0,63,0,Somerst,1Story,Attchd,TA,Gd,Y,43.6091802606174,473.0,166842.0
81,9309,3,8,1971,1981,1680,1530,781,2299,2,0,4,7,0,1,365,279,0,0,OldTown,1Story,Detchd,TA,Gd,Y,,147.0,227598.0
82,13193,6,7,1961,1988,1061,2076,0,2062,2,0,5,7,1,2,427,0,0,0,NAmes,1Story,CarPort,Fa,Gd,Y,51.97590105190708,0.0,193268.0
83,6762,6,8,1956,2009,1097,500,0,493,2,0,1,5,0,0,0,0,51,0,Somerst,SLvl,BuiltIn,Gd,Fa,Y,79.70199878351346,0.0,129924.0
84,7855,2,7,1905,2009,780,1617,613,2215,3,0,1,5,0,0,0,0,47,0,Somerst,1Story,BuiltIn,Gd,TA,Y,,0.0,149217.0
85,7655,7,6,1977,1999,1521,1189,514,1703,3,0,4,9,0,3,827,0,60,0,Edwards,1Story,CarPort,TA,TA,Y,92.88793993577389,421.0,250370.0
86,4987,2,7,1931,1975,964,1677,0,1671,2,1,2,6,1,3,944,36,16,0,SawyerW,1Story,Attchd,Gd,Fa,Y,81.82954631127318,0.0,189900.0
87,10081,6,5,1998,2020,841,1425,878,2290,2,0,1,3,0,2,503,0,39,0,SawyerW,1Story,Attchd,Gd,Gd,N,71.7612751752436,294.0,224876.0
88,9940,1,7,1909,2022,417,1173,982,2168,1,1,3,7,2,0,0,0,74,0,Sawyer,1.5Fin,Attchd,TA,Ex,Y,99.14053600024687,125.0,184021.0
89,8973,3,1,1902,1929,1025,1438,0,1457,1,1,3,7,2,1,234,33,88,0,OldTown,SLvl,,Fa,TA,Y,,0.0,177216.0
90,8153,2,1,1958,2014,829,1000,1156,2136,2,0,5,10,1,1,324,0,68,0,Crawfor,1Story,Attchd,TA,TA,Y,46.84044220053753,484.0,209020.0
91,5083,7,9,1975,2000,1723,855,0,866,2,0,1,5,0,2,581,0,0,0,SawyerW,2Story,BuiltIn,TA,TA,Y,108.76571176794734,82.0,250736.0
92,7568,4,5,1948,1972,1787,1458,1149,2591,3,0,5,10,2,0,0,0,0,0,NWAmes,1Story,Attchd,TA,Ex,Y,97.03901549742871,20.0,236568.0
93,7808,8,5,1958,2011,555,829,0,838,2,0,1,6,1,3,937,189,0,0,OldTown,SFoyer,,TA,TA,Y,51.23149192350206,287.0,204021.0
94,6496,6,3,1930,1958,601,1394,332,1727,1,0,4,8,1,0,0,0,39,0,Edwards,1Story,Attchd,TA,Gd,Y,28.659048164700174,283.0,185746.0
95,8395,10,5,1992,2010,939,1161,1294,2454,1,0,1,4,1,3,1058,193,95,0,Gilbert,1Story,BuiltIn,TA,Gd,N,96.49839301791353,0.0,190205.0
96,10526,4,3,1968,2000,723,300,566,861,1,1,2,4,1,1,292,0,0,0,NWAmes,2Story,Attchd,Gd,Gd,Y,74.53740402780362,488.0,171899.0
97,19043,5,9,1961,1996,1136,931,0,917,1,1,3,5,1,2,572,0,116,608,SawyerW,1Story,Attchd,TA,Gd,Y,59.98243122461324,0.0,205869.0
98,9603,9,9,1951,1964,919,1277,0,1263,1,1,4,8,0,2,517,0,135,0,CollgCr,1Story,Detchd,TA,Gd,Y,76.90638182584546,0.0,278455.0
99,9927,7,6,1988,2001,1162,995,812,1788,1,1,3,5,0,2,619,195,0,0,CollgCr,2Story,,TA,Gd,Y,96.09812196710165,110.0,273491.0
100,8692,10,1,1940,1974,1456,300,0,293,2,1,5,7,0,3,924,0,44,0,CollgCr,1.5Fin,Detchd,Fa,Fa,N,25.305298865155393,78.0,243987.0
101,4156,9,7,1930,1959,624,1651,0,1661,1,1,4,9,0,1,250,0,16,0,Somerst,2Story,,Gd,Fa,Y,72.77602945957914,0.0,124255.0
102,8860,7,7,1984,2011,1448,1214,0,1207,1,0,2,5,1,1,308,16,0,0,Gilbert,2Story,BuiltIn,Gd,TA,Y,,0.0,148136.0
103,9173,1,4,2021,2021,758,1318,859,2161,1,0,3,5,1,2,640,0,0,0,OldTown,2Story,BuiltIn,TA,Fa,Y,102.92203330619651,84.0,195263.0
104,23987,8,8,1983,1985,1909,970,0,960,1,0,1,4,2,2,470,0,136,0,OldTown,2Story,Attchd,Fa,Fa,N,88.22772109671735,79.0,263144.0
105,8292,4,6,2002,2017,1698,1351,764,2134,2,1,1,3,2,3,862,0,197,0,CollgCr,2Story,Attchd,TA,Gd,Y,88.02301924947164,0.0,320401.0
106,10103,3,4,1921,1950,1004,1847,639,2470,3,1,1,4,0,3,832,161,90,190,BrkSide,2Story,Attchd,Ex,TA,Y,60.23514733106712,243.0,138824.0
107,8831,7,4,1903,2018,664,870,0,878,3,1,4,7,1,0,0,69,0,0,Gilbert,1Story,,TA,Fa,Y,84.73072547111185,0.0,124917.0
108,5611,3,2,1912,2004,588,1783,0,1773,3,0,2,4,2,3,725,0,100,0,NAmes,1Story,,Ex,TA,Y,59.32682616058087,14.0,147680.0
109,14145,8,2,1944,1988,1399,1301,611,1896,3,0,2,7,2,0,0,178,102,0,NWAmes,1Story,BuiltIn,TA,Gd,Y,67.6077120134734,0.0,249438.0
110,12097,6,4,1941,2019,1037,819,1061,1891,1,0,2,5,2,2,499,76,0,0,BrkSide,1Story,Attchd,Gd,TA,Y,82.62552565052152,267.0,157995.0
111,12288,5,5,2013,2020,1420,1990,0,2005,3,1,3,6,2,1,244,0,72,0,SawyerW,1.5Fin,Attchd,TA,Gd,Y,,0.0,241419.0
112,6224,4,8,1948,1998,1931,1298,0,1292,3,1,4,6,0,3,882,15,0,0,Edwards,1Story,,TA,Gd,Y,76.95721952246645,0.0,238365.0
113,15695,8,6,1919,2020,741,1407,1682,3087,2,1,1,4,1,1,294,0,0,0,Timber,1Story,Attchd,TA,Gd,N,,350.0,198434.0
114,5111,8,4,2015,2016,557,1047,0,1048,2,0,3,6,0,3,877,0,138,260,CollgCr,1Story,BuiltIn,Gd,Gd,Y,61.97074620044072,0.0,272522.0
115,11324,1,7,1976,2022,1127,847,870,1730,2,1,2,7,2,3,672,0,0,0,Mitchel,1Story,Attchd,Gd,Ex,Y,47.17280669772626,282.0,247602.0
116,21508,9,8,1980,2017,1507,1213,878,2087,1,0,1,4,2,0,0,0,156,0,Crawfor,1.5Fin,Attchd,Fa,TA,Y,50.05123461582325,124.0,334355.0
117,6025,5,2,1953,2016,673,1750,0,1741,1,0,4,9,1,3,765,214,0,0,Gilbert,2Story,BuiltIn,Gd,Gd,Y,45.26151766102464,0.0,115856.0
118,7140,4,7,1935,2021,1063,1032,822,1858,1,0,5,8,1,2,561,45,0,0,Somerst,1.5Fin,Attchd,TA,Gd,N,105.36351612079656,160.0,149768.0
119,9319,6,2,1996,2020,1598,1139,944,2079,2,0,2,5,0,1,266,0,198,0,OldTown,1Story,Attchd,Gd,Gd,Y,,12.0,258054.0
120,7321,6,2,1900,2005,396,1703,0,1692,3,0,2,7,1,3,877,273,0,0,Mitchel,SLvl,,TA,TA,Y,93.5517386182735,164.0,234368.0
121,4816,2,8,1914,1920,1144,1035,0,1042,2,0,2,7,0,1,319,0,0,0,OldTown,SFoyer,Detchd,Gd,Fa,Y,89.60822678022816,427.0,166598.0
122,9204,8,2,1976,1997,833,1343,628,1968,1,0,2,6,0,1,240,0,108,0,Somerst,2Story,BuiltIn,TA,Gd,Y,65.63513429954013,0.0,181603.0
123,5855,7,9,1916,1996,1099,1483,0,1480,2,1,1,4,2,1,241,87,49,0,Edwards,SLvl,BuiltIn,TA,Gd,Y,105.85753310904553,421.0,220017.0
124,10823,1,1,1923,2004,1333,1075,0,1086,3,0,4,9,0,3,856,0,113,0,Somerst,2Story,,Gd,TA,Y,54.80016270220305,292.0,142958.0
125,6199,5,9,1957,1997,1138,1267,889,2149,1,1,3,6,2,0,0,181,23,0,CollgCr,SLvl,Attchd,Ex,TA,Y,114.27217183853475,442.0,270534.0
126,16646,6,1,1971,1980,645,1401,0,1396,3,0,1,4,0,1,309,21,0,0,BrkSide,1.5Fin,Detchd,TA,Gd,Y,72.72166953555227,113.0,133625.0
127,6546,4,2,2013,2022,849,997,617,1611,3,0,4,7,0,1,280,0,0,0,NAmes,SFoyer,Attchd,TA,Gd,Y,109.35117265749517,119.0,130467.0
128,7872,2,6,1990,1996,1620,1459,188,1642,1,0,3,5,1,3,1048,0,98,0,Somerst,2Story,Attchd,Ex,Gd,Y,,0.0,178803.0
129,12399,4,6,2008,2020,1181,942,0,938,3,1,2,6,1,3,649,0,186,0,BrkSide,1.5Fin,BuiltIn,TA,Gd,Y,60.50834246236176,273.0,138939.0
130,5473,1,1,1922,1971,1386,893,0,879,2,0,4,6,2,2,627,233,54,0,NAmes,2Story,Attchd,TA,TA,Y,34.73638116419292,47.0,137135.0
131,9808,7,7,1945,1996,1150,569,468,1028,3,0,2,6,1,2,575,128,26,0,OldTown,1Story,Detchd,Gd,Ex,Y,92.9294523270648,0.0,250060.0
132,15106,2,8,1971,2003,1373,958,1130,2101,3,1,4,7,0,0,0,291,66,0,Sawyer,1Story,Attchd,TA,Gd,Y,75.57081999216942,321.0,259251.0
133,4707,2,2,1907,1907,891,840,0,829,3,1,5,8,2,0,0,94,187,0,BrkSide,SLvl,Attchd,TA,TA,Y,114.3654733161415,432.0,91258.0
134,9641,9,8,1958,2010,742,997,0,981,2,1,2,7,2,0,0,27,1,0,Sawyer,1Story,Attchd,Ex,TA,Y,59.35236537900804,0.0,265921.0
135,9936,5,9,1989,2022,1355,1382,854,2236,3,1,2,6,2,0,0,0,0,0,NWAmes,2Story,BuiltIn,Ex,Gd,Y,,57.0,291719.0
136,12243,2,6,2010,2013,1500,494,170,646,3,0,2,6,0,1,323,0,0,0,NAmes,1Story,Attchd,TA,Fa,Y,71.75813229917337,418.0,108993.0
137,5460,9,5,1958,1974,684,399,0,397,2,0,1,3,1,3,824,124,0,0,Edwards,1Story,Detchd,TA,TA,Y,67.93663785545633,77.0,199426.0
138,5280,9,9,1912,1915,819,865,544,1423,1,1,3,7,2,2,531,78,62,0,Gilbert,SLvl,Detchd,Gd,Gd,Y,,498.0,171725.0
139,11034,1,9,1938,1980,984,1325,272,1582,1,0,2,5,0,1,245,0,0,0,NridgHt,SLvl,Attchd,TA,TA,Y,51.406760439642866,203.0,91774.0
140,10084,3,1,2000,2021,1697,1259,0,1252,1,1,2,7,1,3,817,0,0,0,Somerst,2Story,Detchd,TA,Gd,Y,78.23345420993193,0.0,155827.0
141,9899,4,3,2012,2021,1275,859,0,842,3,1,1,3,1,3,783,0,0,0,Mitchel,1Story,,Gd,Gd,Y,74.65061819946219,224.0,214102.0
142,10286,7,9,1927,1930,520,1594,0,1591,1,1,1,6,2,1,348,162,41,0,NridgHt,2Story,Detchd,TA,Gd,Y,35.40097907599728,0.0,116771.0
143,6822,10,2,1988,1988,1012,899,331,1238,2,0,5,9,0,1,230,56,155,0,BrkSide,1Story,Attchd,Fa,TA,Y,21.0,0.0,157296.0
144,9827,4,4,1960,1966,951,1325,0,1339,3,1,4,8,1,2,591,0,156,0,SawyerW,1Story,Detchd,Gd,TA,Y,63.114075192767004,0.0,187597.0
145,10069,2,4,1915,2008,580,1012,1048,2077,3,0,2,4,0,0,0,0,196,0,Sawyer,1Story,Detchd,TA,Gd,Y,95.56389588679298,264.0,185311.0
146,6729,7,2,2018,2019,1008,819,934,1748,3,0,4,8,1,0,0,41,0,0,SawyerW,2Story,Attchd,TA,Gd,Y,74.88556456669473,324.0,227239.0
147,18888,6,3,1901,1973,933,920,0,919,1,0,1,6,2,2,470,0,0,0,Gilbert,1Story,Attchd,Gd,TA,Y,41.340241251295275,387.0,125531.0
148,10824,3,3,2017,2021,905,1428,403,1834,1,1,1,4,2,2,436,166,187,0,BrkSide,2Story,Attchd,Ex,TA,Y,30.975389457729335,0.0,111211.0
149,5560,6,1,1981,2015,887,1287,747,2048,1,0,5,7,1,0,0,249,104,0,Edwards,1Story,Attchd,Ex,TA,Y,95.40551921453776,388.0,179693.0
150,11644,6,6,1916,1923,1638,1517,491,2006,3,1,3,7,0,1,286,0,0,0,NAmes,1Story,Attchd,Gd,Gd,Y,33.63307126991364,0.0,205591.0
151,6064,5,8,1929,1952,904,1287,760,2030,2,0,1,6,1,0,0,277,132,0,BrkSide,1Story,Detchd,Ex,TA,Y,,311.0,121203.0
152,12269,4,3,2002,2020,1069,537,185,734,3,0,2,5,0,3,905,0,0,0,Somerst,SFoyer,Attchd,TA,Gd,Y,82.51892308519881,0.0,140458.0
153,14234,10,5,1912,1947,1026,1953,0,1934,2,0,5,9,1,3,781,229,0,0,SawyerW,2Story,CarPort,Fa,TA,Y,105.96254253341723,499.0,243085.0
154,6449,1,1,1995,2012,847,1292,709,1993,3,1,3,5,2,2,515,164,72,0,SawyerW,1Story,Detchd,Ex,Gd,Y,,0.0,175603.0
155,13165,10,7,2013,2016,1081,1345,1362,2716,2,1,5,9,0,0,0,242,0,0,SawyerW,2Story,CarPort,TA,Gd,Y,90.66471727388837,71.0,325725.0
156,10562,6,1,1992,2018,1076,1006,1091,2110,3,1,1,5,2,0,0,89,179,0,Edwards,SLvl,Detchd,Ex,Gd,Y,,0.0,209215.0
157,12441,2,9,2009,2019,1081,1573,0,1582,3,1,3,7,0,3,671,178,0,0,Somerst,1.5Fin,Attchd,Gd,TA,Y,40.58322405977266,387.0,143136.0
158,19124,3,8,1993,2019,706,734,0,737,2,0,4,7,1,0,0,0,0,0,Edwards,1.5Fin,Detchd,Gd,TA,Y,,0.0,186323.0
